Wavelength(nm),led0,led1,led2,led3,led4,led5,led6,led7,led8,led9,led10,led11,led12,led13,led14
204.346481468207,-0.00147375849587483,-0.000869038465210002,0.000230972650242939,0.000413803265192117,-0.000116858312276144,-0.000511756247817411,-0.000744452208162542,-0.000523145371347773,-0.000560138564174026,0.000271091879584032,0.000250903224892059,8.06874501708994e-05,-0.00123898656402274,0.00176263254307,0.00397557111962331
204.816184475585,-0.00232730027681147,-0.000803327222023871,-8.00654796555785e-05,9.56285138112251e-05,-0.000351072211611111,-0.000946120894230361,-0.00110597367383716,-0.000984447807141394,-0.000474635696224532,-0.000178547947382138,-5.21845864269594e-05,-0.000321653724037108,-0.000143162770470784,0.000611007493177279,0.00147654777182518
205.285868920373,-0.00132920331688354,-0.000180876437879457,-3.73903116646127e-05,0.00025837956633862,-9.72887443181582e-05,-0.000461560088670423,0.000287756492897236,-0.00017110394756578,-0.000103630107437547,5.64234328860937e-05,9.92208267374672e-05,8.39690022521785e-05,0.000286528010557293,0.00168757317292964,0.00348711684687145
205.755534795699,0.0,8.67794812215351e-05,9.22568450850257e-05,0.000428706500323881,8.16837560729863e-05,-2.55511944955981e-05,0.000653118443757465,5.5971076589396e-05,7.4578262385601e-05,0.00020302794653624,0.000225489748821632,0.000368616812875164,0.000618606745101823,0.00195372220693048,0.00463625482538678
206.225182094685,0.000289077247080184,0.000204553932954025,9.36307669661421e-05,0.000418011982090236,0.000155867694252056,-0.000100380820676765,0.000688399126856929,0.000325435488062424,8.78967969680931e-05,0.000236095150915437,0.000188984008407967,0.000313370975967528,0.000437448256942518,0.00199146123061825,0.00481252304690261
206.69481081046,0.000730177775423317,0.000235648452119946,5.87644563715452e-05,0.000382334570320346,0.000234720722385652,0.000123349167551737,0.000743378249191977,0.000549410880488399,0.000202516215187942,0.000199291794382625,0.000175378887448096,0.000364653455120387,0.000812948887576346,0.00225170101277245,0.00503074031584269
207.164420936147,0.00126923682327389,0.000443630089884398,0.00012191827419451,0.000551810294643316,0.000379839494537442,0.000255911797024953,0.00106364310968428,0.000859566212606624,0.000268435049604434,0.000335520349070115,0.000232116025071286,0.000539668333087615,0.00103262467708393,0.00275447578507604,0.00564463386930007
207.634012464873,0.00148019571416651,0.000663845829648467,0.000205842751760336,0.000636586831931956,0.000431454088767053,0.00058638471916437,0.00101549321780326,0.001122750703458,0.000344682474987144,0.000365846879766026,0.000287491980202003,0.000585541698934797,0.00110418442817469,0.0032539192244377,0.0067245219721454
208.103585389762,0.00205893649752593,0.00077915390471996,0.000329337093468235,0.000782236580577668,0.000489775994217768,0.000700215394958651,0.00119934862247778,0.00127875010962658,0.000326734800189665,0.000446280216690542,0.000344746220997061,0.000638003750948797,0.00162387608240792,0.00340435983609131,0.00714102620675837
208.573139703942,0.0015911546881408,0.000408905620238976,0.000249371397209976,0.000638452586268603,0.000363156293142379,0.000455456967044948,0.00061445251992232,0.000951903562415065,0.000216568709697505,0.000363089383997989,0.000230622223048334,0.000471479563863184,0.00126537426640108,0.00256910369440101,0.00611522175132383
